category,group,sort_order,title,body,image_url,link,shape_key,published
Wiki,Japanese Knife Types — General Purpose,300,Gyuto,"Japanese analog of the western chef's knife — an all-purpose knife. Main difference from a western chef's knife is its thinner blade. As with most Japanese kitchen knives, Gyutos feature much harder steel. Gyutos generally come with a double-grind edge and are made with both western and Japanese (Wa-Gyuto) style handles. The name is sometimes translated as 'Cow Blade.' Exact origins are unclear, but some believe the Gyuto was originally designed for cutting large slices of beef.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,301,Wa-Gyuto,"A Gyuto fitted with a traditional Japanese (Wa) handle. Functionally identical to the standard Gyuto, offering the same all-purpose cutting performance but with the balance, feel, and customizability of a Wa handle.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,302,Santoku,"Full name: Santoku-Bocho. Also called Bunkabocho. In Japanese means 'Knife of Three Virtues,' referring to its versatility with meat, fish, and vegetables. Usually has a short blade up to 200mm, a rounded tip with a slight point, and a double-grind edge. Comes with western or Japanese handles. More versatile than a Nakiri for the home kitchen. The spelling 'Santuko' is an incorrect westernized variant.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,303,Bunka Bano-Bocho,"General purpose knife for cutting fish, meat, and vegetables. 150-170mm blade, Edo-style tip. Not a common term — used primarily by Takeda.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,304,Petty,"Also Petit or Petti naifu. The Japanese equivalent of a paring knife. Blade up to 150mm. The heel is more prominent compared to traditional western paring knives, and it can be used on a cutting board rather than just in-hand.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,305,Kiritsuke,"Also Kiritsuke Hocho. Large, multipurpose kitchen knife. Point is diamond-shaped, like on a Mukimono or Hishigata Usuba. Traditionally a single-grind (chisel) knife. Some makers produce double-grind knives that look like a Kiritsuke, but those are technically a Kiritsuke-geometry Gyuto. A true Kiritsuke is always single-grind. Considered a status symbol among professional chefs in Japan.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,306,Funayuki,"Thinner than a Miroshi Deba but with a wider blade. Standard definition: a knife made specifically for fishermen for ease of handling on boats. Some makers use the same term for thin, double-grind knives with a more Gyuto-like style. Essentially an all-rounder suited for fish, meat, and vegetables.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,307,Hakata Bocho,Also called Inasa Bocho. A regional variation of the Bunka Bocho from the Hakata area on the southern island of Kyushu. Features a triangular nose and curved spine. Once a staple in any good home kitchen in that region.,,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,308,Satsuma Bocho,"A regional variation of the Bunka Bocho (home kitchen knife) from the southern Satsuma region on Kyushu island. Has a slightly thicker blade for handling meats and vegetables, and a slightly smaller blade height than a Santoku.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,309,Tosagata Bocho,"A regional variation of the Bunka Bocho (home cooking knife) from the Tosa region of Shikoku island. Light and thin, with a smaller blade height than a Santoku.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,310,Makiri,"Small fishing and utility knife. A simple, versatile knife originally used by fishermen.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — General Purpose,311,Reitou Hocho,Literally 'freeze knife.' Designated knife for cutting frozen meat. Comes in various shapes and lengths. Short versions are usually serrated; long ones have protrusions on the top to aid cutting and prevent slippage. Two-handled versions are also common.,,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,320,Deba,"Heavy, thick knife designed for cutting and filleting fish. Can be used for butchering poultry, but cutting bones with it is not recommended. Usually 165-200mm long. Traditionally single-grind. Double-grind versions are called Ryodeba and are quite popular. Mainly used with Japanese-style handles, though western-handled versions (Yo-Deba) exist.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,321,Hon-Deba,"'Hon' means true or original in Japanese. The Hon-Deba is the thickest and heaviest type of Deba, intended for the most demanding fish-breaking tasks.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,322,Atsu Deba,"'Atsu' means thick or heavy in Japanese. A generic term for heavy, rough-use Debas. Usually finished in Kuro-uchi (as-forged) style.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,323,Ko-Deba,A small Deba designed for smaller fish such as sea bream and horse mackerel (Aji).,,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,324,Ai-Deba,"A slightly lighter Deba with a spine thickness similar to a Miroshi Deba (maybe slightly thinner), and a blade height intermediate between a Miroshi Deba and a Hon Deba.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,325,Miroshi Deba,Also Mioroshi Deba (more correct spelling). 'Miroshi' means filleting in Japanese. A more slender and longer Deba optimized for the filleting task rather than heavy breaking. The western world commonly uses the slightly incorrect spelling 'Miroshi.',,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,326,Kako Deba,Also Usudeba or Kakou Deba. A knife with a Deba profile but a thinner spine. Used for all-day work by fishmongers.,,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,327,Ryodeba,"A standard Deba with a double-grind edge. Typically 165-200mm long. Used to fillet fish, dress poultry, and cut through small bones and joints.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,328,Yo-Deba,Western-style Deba. Typically a double-grind Deba with a western-style handle.,,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,329,Saikachi Deba,"A specialized Deba with a flat, unpointed tip. Mainly used by fishmongers. Besides general fish-breaking, the unpointed tip is specifically designed to help cut out caviar from the fish. Single-grind; a double-grind version also exists.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,330,Kanisaki Deba,"Specialized Deba for filleting crab, lobster, and shellfish. Unusual design: single-grind, but the edge is ground on the left side for right-handed knives. This prevents the edge from cutting into the crab meat when extracting it from the hard shell. Heavy, thick blade for cutting through the shell.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,331,Magurokiri,Tuna filleting knife. Extremely long — up to 1000mm — more like a sword than a knife. Used to fillet whole tuna.,,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,332,Oroshi Hocho,"An extremely long knife, around 1500mm (60 inches) long. Used to cut large tuna in one single stroke. As usual requires more than one person to handle it. Essentially a longer version of the Magurokiri.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,333,Sakekiri,"Also Sake Deba. Salmon knife ('Sake' means salmon in Japanese). Thin, wide knife designed for salmon preparation.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,334,Unagisaki,"'Unagi' means eel in Japanese; 'saki' means tearing. A small knife for filleting eel. Numerous regional variations exist: Kanto style (Edosaki), Kyoto style, Osaka style, Nagoya style, and Kyushu style. The generic name for all variations is Unagisaki.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,335,Dojosaki Bocho,"Also Anagosaki. Special knife designed for filleting Anago (sea eel) and Dojo (loach, a small eel-related fish caught in local waters in summer). Essentially a thinner and smaller, about 120mm version of the Edosaki knife.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,336,Hamokiri,"Also Honekiri. A heavy knife for slicing pike conger fillet. Hamo (pike conger) has many small bones, so removal is not an option. Instead, incisions are made every 1.25mm or less to cut the bones into small pieces, softening up the flesh. The process itself is called Hamo No Honekiri.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,337,Fugubiki,"Also Fuguhiki. Essentially a thinner version of the Yanagi, slightly flexible for making extremely thin slices of delicate fugu (blowfish) flesh. Fugu is a blowfish in Japanese and is the prestigious sushi ingredient that requires a licensed chef to prepare.",,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
Wiki,Japanese Knife Types — Fish & Seafood,338,Sabasaki,A knife for cleaning and filleting saba (mackerel).,,https://www.zknives.com/knives/kitchen/misc/usetype/all/index.shtml,,TRUE
