category,group,sort_order,title,body,image_url,link,shape_key,published
Metal,Carbon Steels,1,SK Steel — HRC 58–62,"C 0.95–1.10%. JIS standard basic tool steel. Entry-level, very easy to sharpen. Highly reactive.",,,,true
Metal,Carbon Steels,2,White Steel #3 (Shirogami 3) — HRC 59–62,"C 0.80–0.90%. Most forgiving Shirogami. Easiest to sharpen, lower retention. Very reactive.",,,,true
Metal,Carbon Steels,3,White Steel #2 (Shirogami 2) — HRC 61–64,"C 1.00–1.10%. Benchmark carbon steel. Extremely sharp, easy to sharpen. Very reactive.",,,,true
Metal,Carbon Steels,4,Blue Steel #2 (Aogami 2) — HRC 62–63,"C 1.0–1.2%, W 1.5–2.0%, Cr 0.2–0.5%. Most popular carbon knife steel. Excellent chip resistance.",,,,true
Metal,Carbon Steels,5,White Steel #1 (Shirogami 1) — HRC 62–65,C 1.25–1.35%. Purest Shirogami. Top Honyaki knives. More brittle than #2.,,,,true
Metal,Carbon Steels,6,Blue Steel #1 (Aogami 1) — HRC 62–65,"C 1.2–1.4%, W 1.5–2.0%. Superior retention. For experienced users.",,,,true
Metal,Carbon Steels,7,V-Toku 2 — HRC 62–65,"C 1.0–1.2%, V 0.2–0.3%. Vanadium carbides improve wear resistance. Fine grain.",,,,true
Metal,Carbon Steels,8,Blue Super (Aogami Super) — HRC 63–67,"C 1.4–1.5%, W 2.0–2.5%, Mo, V. Pinnacle of Yasugi steel. Expert care required.",,,,true
Metal,Carbon Steels,9,ApexUltra (Takefu) — HRC 64–67,"C 1.55–1.65%, W, V, Mo. Extreme edge retention. Expert-only steel.",,,,true
Metal,Semi-Stainless,10,SLD (Hitachi) — HRC 60–63,"C 0.95–1.0%, Cr 7.8–8.5%, Mo 1.5%. Patinas rather than rusts. Excellent toughness.",,,,true
Metal,Semi-Stainless,11,SKD (JIS SKD11) — HRC 62–64,"C 1.4–1.6%, Cr 11–13%. High carbide volume for excellent retention.",,,,true
Metal,Semi-Stainless,12,HAP-40 (Hitachi PM) — HRC 66–67,"C 1.27%, Cr 4%, W 6%, Mo 5%, V 3%, Co 8%. Extreme hardness. Requires diamond stones.",,,,true
Metal,Stainless,13,MV (Molybdenum Vanadium) — HRC 56–58,"C 0.60–0.70%, Cr 13–14%. Entry-level. Low retention, excellent toughness.",,,,true
Metal,Stainless,14,AUS-8 (Aichi) — HRC 57–59,"C 0.70–0.75%, Cr 13–14.5%. Balanced, forgiving. Easy to sharpen.",,,,true
Metal,Stainless,15,VG-1 (Takefu) — HRC 57–60,"C 0.60–0.75%, Cr 14–15%. Entry VG series. Low maintenance.",,,,true
Metal,Stainless,16,VG-5 (Takefu) — HRC 59–61,"C 0.80–0.90%, Cr 14–15%. Mid-range VG. Solid everyday performer.",,,,true
Metal,Stainless,17,ATS-34 (Hitachi) — HRC 60–62,"C 1.05%, Cr 14%, Mo 4%. Gold standard before PM steels.",,,,true
Metal,Stainless,18,Swedish Steel (Sandvik) — HRC 60–62,"C 0.65–0.70%, Cr 13.5%. High-purity. Sharpness comparable to carbon steels.",,,,true
Metal,Stainless,19,VG-10 (Takefu) — HRC 60–62,"C 1.0%, Cr 14.5–15.5%, Mo 1%, Co 1.5%. Industry benchmark premium stainless.",,,,true
Metal,Stainless,20,VG-MAX (Takefu) — HRC 60–62,"C 1.0%, Cr 15%, V 0.3%, Co 2.5%. Upgraded VG-10. Higher retention.",,,,true
Metal,Stainless,21,AUS-10 (Aichi) — HRC 60–62,"C 0.95–1.10%, Cr 13–14.5%, Ni. Higher retention than AUS-8.",,,,true
Metal,Stainless,22,Ginsan / Silver #3 (Hitachi) — HRC 61–62,"C 0.95–1.10%, Cr 13–14.5%. Carbon steel performance, stainless maintenance.",,,,true
Metal,Stainless,23,Chromax (Hitachi) — HRC 61–63,"C 0.70–0.75%, Cr 13.5%. Emphasis on corrosion resistance. Easy sharpening.",,,,true
