label,aliases,category,maker,hrc,retention,sharpening,corrosion,chip,c_pct,cr_pct,mo_pct,v_pct,w_pct,co_pct,mn_pct,si_pct,other_comp,description,available
White Steel #3,"white steel 3,shirogami 3,white 3",Carbon,Hitachi,59–62,60,100,10,90,0.80–0.90%,,,,,,0.10–0.20%,0.10–0.20%,,Most accessible Shirogami. Low carbon gives exceptional ease of sharpening and a keen initial edge with lower edge retention than #1 or #2. Highly reactive — dry immediately after every use.,true
White Steel #2,"white steel 2,shirogami 2,white 2",Carbon,Hitachi,61–64,70,90,10,80,1.00–1.10%,,,,,,0.20–0.30%,0.10–0.20%,"P ≤0.025%, S ≤0.004%",Benchmark of Japanese kitchen knife carbon steels. High purity allows an extremely sharp edge. Very reactive — dry immediately after use.,true
White Steel #1,"white steel 1,shirogami 1,white 1",Carbon,Hitachi,62–65,80,80,10,70,1.25–1.35%,,,,,,0.20–0.30%,0.10–0.20%,"P ≤0.025%, S ≤0.004%",Purest and highest-carbon Shirogami. Extremely refined edge — used in top Honyaki knives. More brittle than #2. Requires expert care.,true
Blue Steel #2,"blue steel 2,aogami 2,blue 2,aogami2",Carbon,Hitachi,62–63,80,70,20,80,1.00–1.20%,0.20–0.50%,,,1.50–2.00%,,0.20–0.30%,0.10–0.20%,,Most popular carbon steel in Japanese knife making. Tungsten and chromium improve toughness and retention while remaining accessible to sharpen.,true
Blue Steel #1,"blue steel 1,aogami 1,blue 1,aogami1",Carbon,Hitachi,62–65,90,60,20,70,1.20–1.40%,0.30–0.50%,,,1.50–2.00%,,0.20–0.30%,0.10–0.20%,,Higher carbon than Blue #2. Superior edge retention. More demanding to sharpen — for experienced users.,true
Blue Super,"blue super,aogami super",Carbon,Hitachi,63–67,100,50,30,80,1.40–1.50%,0.30–0.50%,0.30–0.50%,0.30–0.50%,2.00–2.50%,,0.20–0.40%,0.10–0.40%,,Pinnacle of Yasugi carbon steel. Mo and V push hardness and retention to the absolute limits without becoming brittle. Expert sharpening and care required.,true
V-Toku 2,v-toku 2,Carbon,Hitachi,62–65,90,60,20,70,1.00–1.20%,0.10–0.30%,,0.20–0.30%,,,0.20–0.30%,0.10–0.20%,,Hitachi carbon steel with vanadium additions. Vanadium carbides improve wear resistance beyond standard Blue steels.,true
SK Steel,sk steel,Carbon,JIS,58–62,50,90,10,90,0.95–1.10%,,,,,,0.10–0.50%,0.10–0.35%,,JIS standard basic tool steel. Lower performance but very easy to sharpen. Entry-level traditional knives. Highly reactive.,true
ApexUltra,apex ultra,Carbon,Takefu,64–67,100,30,30,70,1.55–1.65%,0.50%,0.50%,0.50%,2.00%,,0.30%,0.35%,,"Ultra-high carbon steel. Extreme edge retention. Requires specialist heat treatment, expert sharpening and meticulous care.",true
SLD,sld,Semi-stainless,Hitachi,60–63,80,70,50,80,0.95–1.00%,7.80–8.50%,1.00–1.50%,0.20–0.30%,0.30%,,0.30–0.60%,0.20–0.50%,,Semi-stainless tool steel. ~8% Cr develops a protective patina rather than rusting aggressively. Excellent toughness and good edge retention.,true
