label,aliases,category,maker,hrc,retention,sharpening,corrosion,chip,c_pct,cr_pct,mo_pct,v_pct,w_pct,co_pct,mn_pct,si_pct,other_comp,description,available
White Steel #3,"white steel 3,shirogami 3,white 3",Carbon,Hitachi,59–62,6,10,1,9,0.80–0.90%,,,,,,0.10–0.20%,0.10–0.20%,,Most accessible Shirogami. Low carbon gives exceptional ease of sharpening and a keen initial edge with lower edge retention than #1 or #2. Highly reactive — dry immediately after every use.,true
White Steel #2,"white steel 2,shirogami 2,white 2",Carbon,Hitachi,61–64,7,9,1,8,1.00–1.10%,,,,,,0.20–0.30%,0.10–0.20%,"P ≤0.025%, S ≤0.004%",Benchmark of Japanese kitchen knife carbon steels. High purity allows an extremely sharp edge. Very reactive — dry immediately after use.,true
White Steel #1,"white steel 1,shirogami 1,white 1",Carbon,Hitachi,62–65,8,8,1,7,1.25–1.35%,,,,,,0.20–0.30%,0.10–0.20%,"P ≤0.025%, S ≤0.004%",Purest and highest-carbon Shirogami. Extremely refined edge — used in top Honyaki knives. More brittle than #2. Requires expert care.,true
Blue Steel #2,"blue steel 2,aogami 2,blue 2,aogami2",Carbon,Hitachi,62–63,8,7,2,8,1.00–1.20%,0.20–0.50%,,,1.50–2.00%,,0.20–0.30%,0.10–0.20%,,Most popular carbon steel in Japanese knife making. Tungsten and chromium improve toughness and retention while remaining accessible to sharpen.,true
Blue Steel #1,"blue steel 1,aogami 1,blue 1,aogami1",Carbon,Hitachi,62–65,9,6,2,7,1.20–1.40%,0.30–0.50%,,,1.50–2.00%,,0.20–0.30%,0.10–0.20%,,Higher carbon than Blue #2. Superior edge retention. More demanding to sharpen — for experienced users.,true
Blue Super,"blue super,aogami super",Carbon,Hitachi,63–67,10,5,3,8,1.40–1.50%,0.30–0.50%,0.30–0.50%,0.30–0.50%,2.00–2.50%,,0.20–0.40%,0.10–0.40%,,Pinnacle of Yasugi carbon steel. Mo and V push hardness and retention to the absolute limits without becoming brittle. Expert sharpening and care required.,true
V-Toku 2,v-toku 2,Carbon,Hitachi,62–65,9,6,2,7,1.00–1.20%,0.10–0.30%,,0.20–0.30%,,,0.20–0.30%,0.10–0.20%,,Hitachi carbon steel with vanadium additions. Vanadium carbides improve wear resistance beyond standard Blue steels.,true
SK Steel,sk steel,Carbon,JIS,58–62,5,9,1,9,0.95–1.10%,,,,,,0.10–0.50%,0.10–0.35%,,JIS standard basic tool steel. Lower performance but very easy to sharpen. Entry-level traditional knives. Highly reactive.,true
ApexUltra,apex ultra,Carbon,Takefu,64–67,10,3,3,7,1.55–1.65%,0.50%,0.50%,0.50%,2.00%,,0.30%,,,"Ultra-high carbon steel. Extreme edge retention. Requires specialist heat treatment, expert sharpening and meticulous care.",true
SLD,sld,Semi-stainless,Hitachi,60–63,8,7,5,8,0.95–1.00%,7.80–8.50%,1.00–1.50%,0.20–0.30%,,,0.30–0.60%,0.20–0.50%,,Semi-stainless tool steel. ~8% Cr develops a protective patina rather than rusting aggressively. Excellent toughness and good edge retention.,true
SKD,skd,Semi-stainless,JIS,62–64,9,5,6,7,1.40–1.60%,11.00–13.00%,0.80–1.20%,0.70–1.00%,,,0.20–0.50%,,,"High-carbon, high-chromium tool steel. ~12% Cr offers meaningful corrosion resistance. High carbide volume delivers excellent edge retention.",true
HAP-40,"hap-40,hap40,hap 40",Semi-stainless,Hitachi,66–67,10,4,5,8,1.27%,4.00%,5.00%,3.00%,6.00%,8.00%,0.30%,0.45%,,"High-speed powder tool steel. W, Mo, V and Co push hardness to 66–67 HRC. Outstanding edge retention. Requires diamond or CBN stones.",true
AUS-8,"aus-8,aus8,aus 8",Stainless,Aichi,57–59,5,8,7,8,0.70–0.75%,13.00–14.50%,0.10–0.30%,0.10–0.26%,,,0.50%,1.00%,Ni 0.49%,"Reliable mid-range Japanese stainless. Balanced performance, easy to sharpen, forgiving of rough use, good corrosion resistance.",true
MV (Molybdenum Vanadium),mv (molybdenum vanadium),Stainless,Various,56–58,4,9,8,9,0.60–0.70%,13.00–14.00%,0.50–1.00%,0.10–0.20%,,,,,,Basic stainless designation. Lower carbon limits edge retention but delivers excellent toughness and corrosion resistance. Very easy to sharpen.,true
Swedish Steel,"swedish steel,sweden",Stainless,Sandvik,60–62,6,8,7,8,0.65–0.70%,13.50%,0.10%,,,,0.65%,0.40%,,High-purity Scandinavian stainless (19C27). Fine microstructure allows sharpness comparable to carbon steels. Consistent quality.,true
