category,group,sort_order,title,body,image_url,link,shape_key,published
Wiki,Introduction,1,About Knife Recommendations,"The first thing you need to learn about knife recommendations is to take them with a grain of salt. One person's criteria can be completely different to another's. Avoid a knife block full of knives or purchasing a set at big box stores — these generally have more knives than you need, cheaper materials, and worse fit and finish. A good setup: a larger knife (Chef/Gyuto), a mid-sized knife (Santoku, Bunka, Nakiri, large Petty), and a smaller Petty/utility knife covers 99% of needs. We are at an age of unprecedented worldwide access to kitchen knives. Websites from New Zealand to British Columbia sell their wares, but there are 10x as many opinions — which muddies the waters when hunting for the next knife. Try to triangulate subjective and objective information to determine what knife to get. Specifications give hard facts about a knife and can be critical in determining if a blade is right for you.",,,,TRUE
Wiki,Introduction,2,Everything is a Compromise,"Choosing a kitchen knife almost always involves compromises. Key trade-offs: (1) Blade Shape and Profile: A chef's knife is versatile but may not excel at specialized tasks like filleting fish or slicing sushi. (2) Blade Material and Edge Retention: Softer stainless steel is easier to sharpen but may require more frequent maintenance, while harder high-carbon steel holds an edge longer but may chip if mishandled. (3) Handle Design and Comfort: Some prefer the traditional Wa handle; others find Western-style handles more ergonomic. (4) Price and Budget: Higher-priced knives often offer superior craftsmanship but balancing budget with quality requires compromise. (5) Maintenance and Care: Carbon steel blades need to be dried immediately after use to prevent rust; stainless steel blades are more forgiving.",,,,TRUE
Wiki,Blade Shapes — Japanese,10,Gyuto,"The Gyuto is a Western design more commonly known as a Chef's Knife. The edge profile gives the blade more contact with the cutting board. Using the curve of the blade, relatively large portions of meat are easy to cut. This type of Japanese knife may not be the best choice for dense materials such as bone or cartilage, but is an efficient knife for medium to large vegetables or proteins. For a slightly shorter option with similar utility, the Santoku is a better choice. Ideal for: Chopping, slicing, disjointing some cuts, dicing, and julienning.",,,,TRUE
Wiki,Blade Shapes — Japanese,11,Santoku / Bunka / Ko-bunka,"The Santoku knife originated in Japan. Santoku means 'three virtues' or 'three uses.' Traditionally used as a chef's knife by home cooks, it allows for various cutting methods with meat, fish, and vegetables. Also useful for slicing cheese, mincing meat, and chopping nuts. In the U.S., Bunka often refers to a Kengata Santoku — the angular triangle tip rather than the standard hoof tip. Many Bunkas have a flatter edge than traditional Santoku. Ideal for: Precision mincing, dicing, and slicing.",,,,TRUE
Wiki,Blade Shapes — Japanese,12,Petty,"The Petty knife is a compact utility knife ideal for small and delicate work. Great for delicate cutting of small fruits, vegetables, herbs, and boning. Also one of the best types for cutting cheeses. Practically speaking, these are one of the first knives you would grab, even for simple things such as cutting up small pieces of chicken. Ideal for: Slicing and chopping.",,,,TRUE
Wiki,Blade Shapes — Japanese,13,Nakiri,"The Nakiri style is designed for cutting greens. The blade is double-bevel, thin, and wide while the tip is flat and square. Mainly for carving vegetables — especially useful for shredding, chopping, or julienning. For the single-bevel variety, look at the Usuba. In Japanese cuisine, particularly useful for cutting vegetables such as daikon or carrot into julienne strips using the method called 'katsura-muki.' Ideal for: Chopping, slicing, dicing, and mincing.",,,,TRUE
Wiki,Blade Shapes — Japanese,14,Honesuki,"Honesuki are a type of Japanese boning knife, perfect for deboning whole animals. Typically these knives have a thicker spine than most Western-style boning knives, allowing you to cut through cartilage. While not as thick as a Deba in the spine, the sharp drop tip can be used for fine slicing. Ideal for: Boning and removing skin.",,,,TRUE
Wiki,Blade Shapes — Japanese,15,Sujihiki,"The Sujihiki blade is characterized by its narrow width and short height. These dimensions allow for less contact and friction across the surface area when slicing through meat, letting you slice through delicate fish in a single clean stroke — excellent for preparing sashimi. The blade has double-beveled edges. Ideal for: Slicing.",,,,TRUE
Wiki,Blade Shapes — Japanese,16,Funayuki,"Funayuki is an all-purpose knife with a thin blade optimized for cutting fish. Mostly double-edged, blade lengths range from 12 to 21 cm. Funayuki means 'fisherman's row.' Initially used by fishers on boats to make fisherman's rice, a dish in which fish is processed, mixed with vegetables, and boiled. The design has a larger blade area and wider blade, making it easier to cut large vegetables too.",,,,TRUE
Wiki,Blade Shapes — Japanese,17,Bannou,"Bannou means 'ten thousand abilities' — the idea being you get better than one knife in one package: an all-rounder that can manage every task so a full meal can be prepared from start to finish with just one knife. The difference between a bannou and a santoku? Nothing specific. Along with the bunka they are an all-purpose shortish general-utility knife ideal for home meal preparation. 'Bannou' is a catch-all name for an all-purpose knife rather than one recognizable style, so bannou knives by different makers may be very different knives.",,,,TRUE
